train:epoch0 loss:1.6449993374396343
train:epoch1 loss:1.3654749709732679
train:epoch2 loss:1.2595348625766987
train:epoch3 loss:1.1683530904808823
train:epoch4 loss:1.114827262199655
train:epoch5 loss:1.0695129377501351
train:epoch6 loss:1.0275815117115876
train:epoch7 loss:0.9946283673753544
train:epoch8 loss:0.9646891334227153
train:epoch9 loss:0.9363953103216327
val:epoch10 acc:70.64 loss:0.8374552221237859
train:epoch10 loss:0.9046095259943787
train:epoch11 loss:0.8881920211169184
train:epoch12 loss:0.8669854156216796
train:epoch13 loss:0.852642648378197
train:epoch14 loss:0.8303100518426116
train:epoch15 loss:0.8160257324272272
train:epoch16 loss:0.8057940264745634
train:epoch17 loss:0.7858756601202245
train:epoch18 loss:0.7790942763795659
train:epoch19 loss:0.7618038085650425
val:epoch20 acc:76.36 loss:0.6738438715663138
train:epoch20 loss:0.7453133673692236
train:epoch21 loss:0.7453222773513015
train:epoch22 loss:0.7336109666800013
train:epoch23 loss:0.7249560024665327
train:epoch24 loss:0.7116384123052869
train:epoch25 loss:0.7062344237857935
train:epoch26 loss:0.6933871972925809
train:epoch27 loss:0.6869578446660723
train:epoch28 loss:0.6801308271836262
train:epoch29 loss:0.6696157265378504
val:epoch30 acc:78.11 loss:0.6179752308356611
train:epoch30 loss:0.6637353419649358
train:epoch31 loss:0.6658196599811924
train:epoch32 loss:0.6606630283046742
train:epoch33 loss:0.6474282650315032
train:epoch34 loss:0.6417635058870121
train:epoch35 loss:0.6347724349827183
train:epoch36 loss:0.6278966315546815
train:epoch37 loss:0.6273851134643262
train:epoch38 loss:0.6203327043628206
train:epoch39 loss:0.6174906562177502
val:epoch40 acc:80.25 loss:0.5735590555999852
train:epoch40 loss:0.6041246982557433
train:epoch41 loss:0.6036025332857151
train:epoch42 loss:0.5980353715772532
train:epoch43 loss:0.5976624976919622
train:epoch44 loss:0.5913438527863852
train:epoch45 loss:0.5849153825214931
train:epoch46 loss:0.5792387847085388
train:epoch47 loss:0.5751047318383139
train:epoch48 loss:0.5780671144626579
train:epoch49 loss:0.566549687665336
val:epoch50 acc:81.78 loss:0.5363521873950958
train:epoch50 loss:0.559494211813625
train:epoch51 loss:0.5673452515383156
train:epoch52 loss:0.5554694934767119
train:epoch53 loss:0.5540453972561019
train:epoch54 loss:0.5506445043245141
train:epoch55 loss:0.5449566055013209
train:epoch56 loss:0.5426261321622499
train:epoch57 loss:0.5376573364649501
train:epoch58 loss:0.5350474417209625
train:epoch59 loss:0.5344168645690899
val:epoch60 acc:82.38 loss:0.5205402200735068
train:epoch60 loss:0.5282545843902899
train:epoch61 loss:0.5264888433169346
train:epoch62 loss:0.5199714757654131
train:epoch63 loss:0.522020876559676
train:epoch64 loss:0.518580438075017
train:epoch65 loss:0.5154758521488735
train:epoch66 loss:0.5111931264400482
train:epoch67 loss:0.5062566434546393
train:epoch68 loss:0.5065202868106414
train:epoch69 loss:0.5024273650986808
val:epoch70 acc:82.2 loss:0.5258109018772463
train:epoch70 loss:0.49443681431668146
train:epoch71 loss:0.49867421540678764
train:epoch72 loss:0.49586808590256437
train:epoch73 loss:0.48812483661637013
train:epoch74 loss:0.4904239393618642
train:epoch75 loss:0.485977118112603
train:epoch76 loss:0.4820240220549155
train:epoch77 loss:0.4794693073751975
train:epoch78 loss:0.4803145714864439
train:epoch79 loss:0.47696753454451657
val:epoch80 acc:83.08 loss:0.5129727687262282
train:epoch80 loss:0.47265300063454374
train:epoch81 loss:0.47362672872081096
train:epoch82 loss:0.4665508230729979
train:epoch83 loss:0.47036703888859066
train:epoch84 loss:0.46725580962945
train:epoch85 loss:0.46469123843981297
train:epoch86 loss:0.4586305451028201
train:epoch87 loss:0.4608631082335297
train:epoch88 loss:0.4612811738435103
train:epoch89 loss:0.4540980766926493
val:epoch90 acc:82.6 loss:0.5226275664341601
train:epoch90 loss:0.44740242845549877
train:epoch91 loss:0.4555759127346837
train:epoch92 loss:0.44941197442156927
train:epoch93 loss:0.44595798515543644
train:epoch94 loss:0.4427370357574249
train:epoch95 loss:0.44378416529115366
train:epoch96 loss:0.4423404576218858
train:epoch97 loss:0.44507497427414877
train:epoch98 loss:0.43754713328517214
train:epoch99 loss:0.4335154529128756
val:epoch100 acc:83.03 loss:0.512892329240147
train:epoch100 loss:0.43018522965056555
train:epoch101 loss:0.43347286235313026
train:epoch102 loss:0.4304663560220173
train:epoch103 loss:0.4329581104066907
train:epoch104 loss:0.4283939108860736
train:epoch105 loss:0.4236142059065858
train:epoch106 loss:0.423368046630402
train:epoch107 loss:0.41893321777484854
train:epoch108 loss:0.4211872099917762
train:epoch109 loss:0.4179511695187919
val:epoch110 acc:83.07 loss:0.5226493553270267
train:epoch110 loss:0.416757768970363
train:epoch111 loss:0.41060615330934525
train:epoch112 loss:0.4097416413073637
train:epoch113 loss:0.4120250928158663
train:epoch114 loss:0.40539138338395525
train:epoch115 loss:0.4115036946474289
train:epoch116 loss:0.41032650747469496
train:epoch117 loss:0.4006130943188862
train:epoch118 loss:0.4019043184056574
train:epoch119 loss:0.4031163555931072
val:epoch120 acc:83.27 loss:0.5167343740976309
